net,length_um
_0137_,5.845µm
_0167_,5.845µm
_0272_,5.84µm
_0458_,5.84µm
net191,5.84µm
fifo_dout\[0\],5.82µm
_0077_,5.8µm
net278,5.8µm
_0290_,5.74µm
_0673_,5.74µm
fifo_rd_en,5.74µm
_0531_,5.72µm
_0575_,5.72µm
_0629_,5.72µm
fifo_din\[1\],5.72µm
u_fifo.mem\[9\]\[4\],5.72µm
u_fifo.mem\[8\]\[3\],5.7µm
_0572_,5.68µm
_0681_,5.68µm
net68,5.68µm
net135,5.68µm
net171,5.68µm
net239,5.68µm
_0072_,5.645µm
_0138_,5.645µm
_0226_,5.62µm
net141,5.62µm
net147,5.62µm
net149,5.62µm
_0123_,5.605µm
_0270_,5.6µm
_0569_,5.6µm
_0528_,5.58µm
net95,5.58µm
net115,5.58µm
net128,5.58µm
_0043_,5.56µm
u_uart.clk_count\[11\],5.48µm
_0677_,5.46µm
_0520_,5.4µm
fifo_din\[3\],5.4µm
u_uart.busy,5.4µm
_0033_,5.38µm
_0039_,5.38µm
_0056_,5.38µm
_0258_,5.38µm
_0399_,5.38µm
u_fifo.mem\[0\]\[2\],5.38µm
net274,5.38µm
_0610_,5.36µm
_0656_,5.36µm
_0240_,5.34µm
_0316_,5.34µm
fifo_din\[7\],5.34µm
net166,5.34µm
_0105_,5.305µm
_0189_,5.305µm
rst_n,5.29µm
u_fifo.mem\[3\]\[7\],5.285µm
_0407_,5.28µm
_0593_,5.26µm
_0651_,5.26µm
net183,5.26µm
_0325_,5.22µm
_0430_,5.22µm
net117,5.22µm
_0119_,5.165µm
_0143_,5.165µm
net94,5.16µm
net66,5.14µm
net129,5.14µm
net111,5.12µm
net193,5.12µm
_0117_,5.085µm
_0158_,5.085µm
led_status[1],5.07µm
srf_trig,5.07µm
_0036_,5.04µm
_0045_,5.04µm
_0266_,5.04µm
net8,5.03µm
u_fifo.mem\[14\]\[0\],5.025µm
u_fifo.mem\[11\]\[2\],5.02µm
u_fifo.mem\[12\]\[1\],5.02µm
u_fifo.mem\[3\]\[6\],5.02µm
net138,5µm
net225,5µm
_0304_,4.94µm
_0582_,4.94µm
_0627_,4.94µm
net268,4.94µm
_0010_,4.92µm
_0035_,4.92µm
_0401_,4.92µm
_0467_,4.92µm
_0517_,4.92µm
_0602_,4.92µm
_0613_,4.92µm
net85,4.92µm
_0050_,4.88µm
_0292_,4.88µm
_0368_,4.88µm
_0456_,4.88µm
_0597_,4.88µm
_0685_,4.88µm
fifo_dout\[7\],4.88µm
net195,4.88µm
net235,4.88µm
_0099_,4.845µm
_0106_,4.845µm
_0108_,4.845µm
_0149_,4.845µm
_0380_,4.82µm
u_fifo.mem\[11\]\[0\],4.82µm
u_fifo.mem\[13\]\[1\],4.82µm
u_fifo.mem\[13\]\[3\],4.82µm
_0451_,4.8µm
_0641_,4.8µm
net79,4.8µm
net201,4.8µm
u_fifo.rd_ptr\[2\],4.76µm
net153,4.7µm
net161,4.7µm
_0074_,4.625µm
_0155_,4.625µm
_0156_,4.625µm
_0222_,4.625µm
_0232_,4.625µm
srf_echo,4.61µm
net120,4.6µm
net139,4.6µm
net244,4.6µm
_0171_,4.585µm
_0012_,4.58µm
_0239_,4.58µm
_0262_,4.58µm
u_fifo.rd_ptr\[0\],4.58µm
net75,4.58µm
_0490_,4.54µm
_0396_,4.48µm
_0432_,4.48µm
_0576_,4.48µm
_0621_,4.48µm
_0089_,4.46µm
fifo_dout\[1\],4.46µm
u_fifo.mem\[6\]\[3\],4.46µm
_0414_,4.44µm
_0361_,4.42µm
_0445_,4.42µm
_0706_,4.42µm
fifo_dout\[2\],4.42µm
fifo_dout\[5\],4.42µm
_0649_,4.36µm
